data,ativo,tone,volume
2022-07-21,BTC,-0.7794,0.1581
2022-07-22,BTC,-1.0279,0.1056
2022-07-23,BTC,-0.7518,0.0632
2022-07-24,BTC,1.5194,0.1217
2022-07-25,BTC,-0.3474,0.1115
2022-07-26,BTC,-0.7443,0.1418
2022-07-27,BTC,-0.368,0.1133
2022-07-28,BTC,-0.3902,0.1098
2022-07-29,BTC,-0.6212,0.0857
2022-07-30,BTC,0.7097,0.0899
2022-07-31,BTC,-0.6532,0.0528
2022-08-01,BTC,-0.6102,0.101
2022-08-02,BTC,-0.5474,0.0924
2022-08-03,BTC,-1.0633,0.1638
2022-08-04,BTC,-0.4624,0.0965
2022-08-05,BTC,-0.3687,0.0997
2022-08-06,BTC,-1.4125,0.0729
2022-08-07,BTC,-0.7156,0.0534
2022-08-08,BTC,-0.3309,0.0812
2022-08-09,BTC,-0.5888,0.0973
2022-08-10,BTC,-0.5903,0.1281
2022-08-11,BTC,0.0553,0.1875
2022-08-12,BTC,-0.5469,0.1069
2022-08-13,BTC,-1.3426,0.0611
2022-08-14,BTC,-0.9176,0.053
2022-08-15,BTC,-0.7391,0.1143
2022-08-16,BTC,-0.2606,0.112
2022-08-17,BTC,-0.0867,0.1185
2022-08-18,BTC,0.3297,0.0936
2022-08-19,BTC,-0.9843,0.1633
2022-08-20,BTC,-0.3261,0.0757
2022-08-21,BTC,0.703,0.0769
2022-08-22,BTC,-0.2203,0.095
2022-08-23,BTC,-2.2172,0.1299
2022-08-24,BTC,-1.0358,0.0982
2022-08-25,BTC,0.0598,0.0867
2022-08-26,BTC,-0.3654,0.0835
2022-08-27,BTC,-1.3163,0.0507
2022-08-28,BTC,-1.5469,0.081
2022-08-29,BTC,-0.9349,0.113
2022-08-30,BTC,-1.0822,0.0949
2022-08-31,BTC,-1.2201,0.0967
2022-09-01,BTC,-0.945,0.0902
2022-09-02,BTC,-0.0914,0.0706
2022-09-03,BTC,-0.5073,0.037
2022-09-04,BTC,-0.7237,0.0361
2022-09-05,BTC,-0.9967,0.0702
2022-09-06,BTC,-0.5653,0.0797
2022-09-07,BTC,-0.5174,0.1139
2022-09-08,BTC,-0.2793,0.0927
2022-09-09,BTC,-0.3963,0.1072
2022-09-10,BTC,-0.5216,0.0419
2022-09-11,BTC,-0.2722,0.0688
2022-09-12,BTC,-1.1864,0.1435
2022-09-13,BTC,-1.6553,0.1872
2022-09-14,BTC,-1.7184,0.1291
2022-09-15,BTC,0.1822,0.1381
2022-09-16,BTC,-1.1104,0.1231
2022-09-17,BTC,-0.5096,0.0529
2022-09-18,BTC,-0.0102,0.1133
2022-09-19,BTC,-0.7668,0.1039
2022-09-20,BTC,-0.2854,
